0 csv2kmn.py
1 PT.csv
2 76
3 PT
['\ueb90', 'eb90', 'Christian', 'Cristão']
['\uebfc', 'ebfc', 'church', 'igreja']
['\uec57', 'ec57', 'Chuza', 'Cuza']
['\ueb5b', 'eb5b', 'Cilicia', 'Cilícia']
['\ue250', 'e250', 'circumcise', 'circuncidar']
['\ue250', 'e250', 'circumcision', 'circuncisão']
['\ueb98', 'eb98', 'citizen', 'cidadão']
['\uec36', 'ec36', 'Clauda', 'Cauda']
['\uecae', 'ecae', 'Claudia', 'Cláudia']
['\ueb8a', 'eb8a', 'Claudius', 'Cláudio']
['\uebec', 'ebec', 'clay', 'argila']
['\ue248', 'e248', 'clean', 'limpo']
['\uece3', 'ece3', 'Clement', 'Clemente']
['\uec58', 'ec58', 'Cleopas', 'Cleopas']
['\uea76', 'ea76', 'cloak', 'capa']
['\uebb5', 'ebb5', 'Clopas', 'Clopas']
['\ue300', 'e300', 'close', 'fechar']
['\ue23f', 'e23f', 'closed', 'fechado']
['\ue147', 'e147', 'clothe', 'vestir']
['\ue253', 'e253', 'clothing', 'roupas']
['\ue26e', 'e26e', 'cloud', 'nuvem']
['\uec14', 'ec14', 'Cnidus', 'Cnido']
['\ue148', 'e148', 'cohort', 'Coorte']
['\ue0f2', 'e0f2', 'cold', 'frio']
['\ue284', 'e284', 'color', 'Cor']
['\uece8', 'ece8', 'Colossae', 'Colossa']
['\ue25a', 'e25a', 'come   ', 'vir']
['\ue243', 'e243', 'come_out', 'sair']
['\uea3b', 'ea3b', 'comfort', 'conforto']
['\ue058', 'e058', 'command', 'comando']
['\ue22f', 'e22f', 'commandment', 'mandamento']
['\ue01a', 'e01a', 'compassion', 'compaixão']
['\uecec', 'ecec', 'complete', 'completo']
['\uea7f', 'ea7f', 'condemn', 'condenar']
['\uea7f', 'ea7f', 'condemnation', 'condenação']
['\ue03f', 'e03f', 'confession', 'confissão']
['\ue070', 'e070', 'confidence', 'confiança']
['\ueb08', 'eb08', 'confuse', 'confundir']
['\ue049', 'e049', 'continue', 'continuar']
['\ue332', 'e332', 'control', 'controlar']
['\ue83a', 'e83a', 'convert', 'converter']
['\uea59', 'ea59', 'Corinth', 'Corinto']
