,Aaron,eb0d,Arão
,leprosy,e382,lepra
,letter,eb84,carta
,level,e0d9,nível
,Levi,eb1b,Levi
,Levi_Matthew,e35c,Levi_Mateus
,Levite,eb44,Levita
,lie_down,e121,deitar
,lift,e081,levantar
,light,e0c2,luz
,lightning,ea88,relâmpago
,linen,ea20,linho
,Linus,ecb0,Lino
,lion,ecb6,leão
,locust,ecd4,gafanhoto
,Lois,ecb7,Loide
,longsuffering,e16f,longo_sofrimento
,looks_like,ebcd,parece_que
,lost,e089,perdido
,lot,ea16,lote
,Lot,ebdc,Ló
,loud,ebe8,em_alta_voz
,lower_adj,e324,baixo_adj.
,Lucius,ec93,Lúcio
,Luke,eb68,Lucas
,lunatic,e06d,lunático
,lust,e239,concupiscência
,Lybia,eb73,Líbia
,Lycaonia,eb51,Licaônia
,Lycia,ec13,Lícia
,Lydda,ec2e,Lida
,Lydia,eb50,Lídia
,Lysanias,ec40,Lisânias
,Lysias,ec37,Lísias
,Maath,ec4b,Maate
,Macedonia,ec0d,Macedônia
,Magadan,ea30,Magadan
,magician,ec8a,mágico
,Magog_land,ecf9,Magogue
,Mahalalel,ec68,Maalalel
,Malchus,ebb7,Malco
,Malta,ec19,Malta
,man,e000,homem
,Manaen,eb40,Manaém
,Manasseh,ea63,Manassés
,manna,eba9,maná
,many,e198,muitos
,Mark,e371,Marcos
,market_place,e02e,mercado
,marriage,e010,matrimônio
,Martha,ec69,Marta
,Mary,e354,Maria
,Mary_Magdalene,e353,Maria_Madalena
,Mattatha,ec9c,Matatá
,Mattathias,ec9d,Matatias
,Matthan,ea71,Matã
,Matthat,ed12,Matate
,Matthew,eb04,Mateus
,mature,e236,maduro
,meaning,ecfa,significado
,measure,e305,medida
,Media,eb70,Média
,Megiddo,ecfb,Megido
,Melchi,ec45,Melqui
,Melchizedek,ed05,Melquisedeque
,Melea,ec6a,Meleá
,member,e174,membro
,Menna,ec6b,Mená
,mercy,e01d,misericórdia
,Mesopotamia,eb72,Mesopotâmia
,message,e22d,mensagem
,messenger,e136,mensageiro
,metal,eb28,metal
,Methuselah,ec6c,Metusalém
,Michael_angel,ece1,Micael
,Midian_land,eb0f,Midiã
,Miletus,eb23,Mileto
